FLP FEC Layout for: demo.txt
========================================================================
File size:      291816 bytes
CRC-32:         0xD462B47D (3563238525)
Fragment size:  1456 bytes
Data fragments: 201
FEC group size: 7 data + 1 parity
Full groups:    28
Trailing frags: 5 (no parity)
Total seqs:     229
========================================================================

  seq     type  group  idx  data_idx      offset  length       crc32  first_8_hex
  201     DATA     25    1       176      256256    1456  0xC44840E7  20696d706163742d
  202     DATA     25    2       177      257712    1456  0x1C8DDFAA  686520746f702e20
  203     DATA     25    3       178      259168    1456  0x16D4EFF3  69656c64696e6720
  204     DATA     25    4       179      260624    1456  0xE53B6F94  6120776964652073
  205     DATA     25    5       180      262080    1456  0xD9ACD5B8  68696f6e2e205468
  206     DATA     25    6       181      263536    1456  0x13CD6C35  6974682069636520
  207   PARITY     25    7         -           -    1456  0x78C636BF  20363d3e642f4473
  208     DATA     26    0       182      264992    1456  0x2C1FF065  6e206f66206d6174
  209     DATA     26    1       183      266448    1456  0x73A2E719  6c697479206f6620
  210     DATA     26    2       184      267904    1456  0xA48E6F59  67696e6565726564
  211     DATA     26    3       185      269360    1456  0xB35AA750  6e742067616c6178
  212     DATA     26    4       186      270816    1456  0xF69557A3  69727475616c6c79
  213     DATA     26    5       187      272272    1456  0x1E0161B8  20746f2070726f74
  214     DATA     26    6       188      273728    1456  0x68C024B4  6c2c206e6172726f
  215   PARITY     26    7         -           -    1456  0xC83DCDDA  2e7e6e267470722a
  216     DATA     27    0       189      275184    1456  0x3DA4758D  6e73652077656967
  217     DATA     27    1       190      276640    1456  0x17DC1054  2077617463686d61
  218     DATA     27    2       191      278096    1456  0x03DFE291  6c656e7365732070
  219     DATA     27    3       192      279552    1456  0x4DF9379E  6f66206963652074
  220     DATA     27    4       193      281008    1456  0xD6ACEDAF  54686520636f6e63
  221     DATA     27    5       194      282464    1456  0xE0BAFD49  732c20636f6e7665
  222     DATA     27    6       195      283920    1456  0xAFBC34AD  616c20616666696c
  223   PARITY     27    7         -           -    1456  0xFDF4949D  0b2f2f6c787c7568
  224     DATA     28    0       196      285376    1456  0x416FAB2A  6620686967686c79
  225     DATA     28    1       197      286832    1456  0x6D0204CE  6769642c206f7267
  226     DATA     28    2       198      288288    1456  0xD744612D  6d20612064697374
  227     DATA     28    3       199      289744    1456  0xF66D278B  64652d626f776c65
  228     DATA     28    4       200      291200     616  0x7822BC61  732070756c736573

========================================================================
Summary: 201 data + 28 parity = 229 total seqs
Overhead: 13.9% (28 parity fragments)
